[Sun Apr 24 23:31:28.053752 2022] [php7:error] [pid 22277] [client 127.0.0.1:55114] PHP Fatal error:  Uncaught Error: Call to a member function fetch() on bool in /var/www/html/gsb/views/Praticiens.php:31\nStack trace:\n#0 /var/www/html/gsb/views/Praticiens.php(117): showtable()\n#1 {main}\n  thrown in /var/www/html/gsb/views/Praticiens.php on line 31, referer: https://127.0.0.1/views/Medicaments.php
[Sun Apr 24 23:32:31.847257 2022] [php7:error] [pid 36464] [client 127.0.0.1:55122] PHP Fatal error:  Uncaught Error: Call to a member function fetch() on bool in /var/www/html/gsb/views/Praticiens.php:31\nStack trace:\n#0 /var/www/html/gsb/views/Praticiens.php(117): showtable()\n#1 {main}\n  thrown in /var/www/html/gsb/views/Praticiens.php on line 31, referer: https://127.0.0.1/views/Medicaments.php
[Sun Apr 24 23:53:22.836747 2022] [php7:warn] [pid 22284] [client 127.0.0.1:55374] PHP Warning:  PDOStatement::getColumnMeta() expects exactly 1 parameter, 0 given in /var/www/html/gsb/views/Praticiens.php on line 47, referer: https://127.0.0.1/views/Praticiens.php?page=2&nbpage=10
[Sun Apr 24 23:53:22.836796 2022] [php7:notice] [pid 22284] [client 127.0.0.1:55374] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/gsb/views/Praticiens.php on line 47, referer: https://127.0.0.1/views/Praticiens.php?page=2&nbpage=10
[Sun Apr 24 23:53:22.836816 2022] [php7:warn] [pid 22284] [client 127.0.0.1:55374] PHP Warning:  PDOStatement::getColumnMeta() expects exactly 1 parameter, 0 given in /var/www/html/gsb/views/Praticiens.php on line 47, referer: https://127.0.0.1/views/Praticiens.php?page=2&nbpage=10
[Sun Apr 24 23:53:22.836831 2022] [php7:notice] [pid 22284] [client 127.0.0.1:55374] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/gsb/views/Praticiens.php on line 47, referer: https://127.0.0.1/views/Praticiens.php?page=2&nbpage=10
[Sun Apr 24 23:53:22.836845 2022] [php7:warn] [pid 22284] [client 127.0.0.1:55374] PHP Warning:  PDOStatement::getColumnMeta() expects exactly 1 parameter, 0 given in /var/www/html/gsb/views/Praticiens.php on line 47, referer: https://127.0.0.1/views/Praticiens.php?page=2&nbpage=10
[Sun Apr 24 23:53:22.836858 2022] [php7:notice] [pid 22284] [client 127.0.0.1:55374] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/gsb/views/Praticiens.php on line 47, referer: https://127.0.0.1/views/Praticiens.php?page=2&nbpage=10
[Sun Apr 24 23:53:22.836872 2022] [php7:warn] [pid 22284] [client 127.0.0.1:55374] PHP Warning:  PDOStatement::getColumnMeta() expects exactly 1 parameter, 0 given in /var/www/html/gsb/views/Praticiens.php on line 47, referer: https://127.0.0.1/views/Praticiens.php?page=2&nbpage=10
[Sun Apr 24 23:53:22.836886 2022] [php7:notice] [pid 22284] [client 127.0.0.1:55374] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/gsb/views/Praticiens.php on line 47, referer: https://127.0.0.1/views/Praticiens.php?page=2&nbpage=10
[Sun Apr 24 23:53:22.836900 2022] [php7:warn] [pid 22284] [client 127.0.0.1:55374] PHP Warning:  PDOStatement::getColumnMeta() expects exactly 1 parameter, 0 given in /var/www/html/gsb/views/Praticiens.php on line 47, referer: https://127.0.0.1/views/Praticiens.php?page=2&nbpage=10
[Sun Apr 24 23:53:22.836914 2022] [php7:notice] [pid 22284] [client 127.0.0.1:55374] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/gsb/views/Praticiens.php on line 47, referer: https://127.0.0.1/views/Praticiens.php?page=2&nbpage=10
[Sun Apr 24 23:53:22.836929 2022] [php7:warn] [pid 22284] [client 127.0.0.1:55374] PHP Warning:  PDOStatement::getColumnMeta() expects exactly 1 parameter, 0 given in /var/www/html/gsb/views/Praticiens.php on line 47, referer: https://127.0.0.1/views/Praticiens.php?page=2&nbpage=10
[Sun Apr 24 23:53:22.836942 2022] [php7:notice] [pid 22284] [client 127.0.0.1:55374] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/gsb/views/Praticiens.php on line 47, referer: https://127.0.0.1/views/Praticiens.php?page=2&nbpage=10
[Sun Apr 24 23:53:22.837000 2022] [php7:warn] [pid 22284] [client 127.0.0.1:55374] PHP Warning:  PDOStatement::getColumnMeta() expects exactly 1 parameter, 0 given in /var/www/html/gsb/views/Praticiens.php on line 47, referer: https://127.0.0.1/views/Praticiens.php?page=2&nbpage=10
[Sun Apr 24 23:53:22.837012 2022] [php7:notice] [pid 22284] [client 127.0.0.1:55374] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/gsb/views/Praticiens.php on line 47, referer: https://127.0.0.1/views/Praticiens.php?page=2&nbpage=10
[Sun Apr 24 23:53:22.837020 2022] [php7:warn] [pid 22284] [client 127.0.0.1:55374] PHP Warning:  PDOStatement::getColumnMeta() expects exactly 1 parameter, 0 given in /var/www/html/gsb/views/Praticiens.php on line 47, referer: https://127.0.0.1/views/Praticiens.php?page=2&nbpage=10
[Sun Apr 24 23:53:22.837028 2022] [php7:notice] [pid 22284] [client 127.0.0.1:55374] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/gsb/views/Praticiens.php on line 47, referer: https://127.0.0.1/views/Praticiens.php?page=2&nbpage=10
[Sun Apr 24 23:53:22.837040 2022] [php7:warn] [pid 22284] [client 127.0.0.1:55374] PHP Warning:  PDOStatement::getColumnMeta() expects exactly 1 parameter, 0 given in /var/www/html/gsb/views/Praticiens.php on line 47, referer: https://127.0.0.1/views/Praticiens.php?page=2&nbpage=10
[Sun Apr 24 23:53:22.837048 2022] [php7:notice] [pid 22284] [client 127.0.0.1:55374] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/gsb/views/Praticiens.php on line 47, referer: https://127.0.0.1/views/Praticiens.php?page=2&nbpage=10
[Sun Apr 24 23:53:22.837056 2022] [php7:warn] [pid 22284] [client 127.0.0.1:55374] PHP Warning:  PDOStatement::getColumnMeta() expects exactly 1 parameter, 0 given in /var/www/html/gsb/views/Praticiens.php on line 47, referer: https://127.0.0.1/views/Praticiens.php?page=2&nbpage=10
[Sun Apr 24 23:53:22.837063 2022] [php7:notice] [pid 22284] [client 127.0.0.1:55374] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/gsb/views/Praticiens.php on line 47, referer: https://127.0.0.1/views/Praticiens.php?page=2&nbpage=10
[Sun Apr 24 23:53:22.837070 2022] [php7:warn] [pid 22284] [client 127.0.0.1:55374] PHP Warning:  PDOStatement::getColumnMeta() expects exactly 1 parameter, 0 given in /var/www/html/gsb/views/Praticiens.php on line 47, referer: https://127.0.0.1/views/Praticiens.php?page=2&nbpage=10
[Sun Apr 24 23:53:22.837078 2022] [php7:notice] [pid 22284] [client 127.0.0.1:55374] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/gsb/views/Praticiens.php on line 47, referer: https://127.0.0.1/views/Praticiens.php?page=2&nbpage=10
